Area_Name,Year,Group_Code,Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Andaman & Nicobar Islands,2001,1,Cattle,0,1,0,1000
Andaman & Nicobar Islands,2001,2, Electronic Components,2,4,3600,18560
Andaman & Nicobar Islands,2001,3, Cultural Property including Antiques,0,0,0,0
Andaman & Nicobar Islands,2001,4,Motor Vehicles,6,21,104700,177110
Andaman & Nicobar Islands,2001,5, Fire Arms/Explosive Substances,8,8,184000,184000
Andaman & Nicobar Islands,2001,6, Other Property,42,113,991879,2895807
Andaman & Nicobar Islands,2001,7, Robbery,26,69,356321,635549
Andaman & Nicobar Islands,2002,1,Cattle,0,0,0,0
Andaman & Nicobar Islands,2002,2, Electronic Components,0,2,0,42200
Andaman & Nicobar Islands,2002,3, Cultural Property including Antiques,0,0,0,0
Andaman & Nicobar Islands,2002,4,Motor Vehicles,5,17,26975,155850
Andaman & Nicobar Islands,2002,5, Fire Arms/Explosive Substances,2,4,90000,180000
Andaman & Nicobar Islands,2002,6, Other Property,31,89,594784,1554671
Andaman & Nicobar Islands,2002,7, Robbery,24,57,465484,733534
Andaman & Nicobar Islands,2003,1,Cattle,1,1,1000,1000
Andaman & Nicobar Islands,2003,2, Electronic Components,0,2,0,106000
Andaman & Nicobar Islands,2003,3, Cultural Property including Antiques,0,1,0,110000
Andaman & Nicobar Islands,2003,4,Motor Vehicles,7,33,74900,232900
Andaman & Nicobar Islands,2003,5, Fire Arms/Explosive Substances,4,10,86000,556000
Andaman & Nicobar Islands,2003,6, Other Property,30,88,882887,2665750
Andaman & Nicobar Islands,2003,7, Robbery,23,69,318825,1844591
Andaman & Nicobar Islands,2004,1,Cattle,1,1,1000,1000
Andaman & Nicobar Islands,2004,2, Electronic Components,6,10,149350,161650
Andaman & Nicobar Islands,2004,3, Cultural Property including Antiques,1,1,22000,22000
Andaman & Nicobar Islands,2004,4,Motor Vehicles,12,24,980202,1941932
Andaman & Nicobar Islands,2004,5, Fire Arms/Explosive Substances,18,18,712000,712000
Andaman & Nicobar Islands,2004,6, Other Property,67,131,1583881,2622736
Andaman & Nicobar Islands,2004,7, Robbery,65,106,1290554,1874367
Andaman & Nicobar Islands,2005,1,Cattle,0,0,0,0
Andaman & Nicobar Islands,2005,2, Electronic Components,7,10,47500,67500
Andaman & Nicobar Islands,2005,3, Cultural Property including Antiques,1,1,90000,90000
Andaman & Nicobar Islands,2005,4,Motor Vehicles,21,40,343900,489521
Andaman & Nicobar Islands,2005,5, Fire Arms/Explosive Substances,12,12,590000,590000
Andaman & Nicobar Islands,2005,6, Other Property,46,116,3516083,260851260
Andaman & Nicobar Islands,2005,7, Robbery,55,96,3497064,5476676
Andaman & Nicobar Islands,2005,8, Criminal Breach of Trust,0,8,0,252808214
Andaman & Nicobar Islands,2006,1,Cattle,0,0,0,0
Andaman & Nicobar Islands,2006,2, Electronic Components,3,9,260500,334140
Andaman & Nicobar Islands,2006,3, Cultural Property including Antiques,1,1,80000,80000
Andaman & Nicobar Islands,2006,4,Motor Vehicles,13,35,162586,620790
Andaman & Nicobar Islands,2006,5, Fire Arms/Explosive Substances,12,12,530000,530000
Andaman & Nicobar Islands,2006,6, Other Property,59,141,1528623,5860840
Andaman & Nicobar Islands,2006,7, Robbery,56,106,1328602,2284243
Andaman & Nicobar Islands,2006,8, Criminal Breach of Trust,0,3,0,2190825
Andaman & Nicobar Islands,2007,1,Cattle,0,0,0,0
Andaman & Nicobar Islands,2007,2, Electronic Components,3,5,272000,523000
Andaman & Nicobar Islands,2007,3, Cultural Property including Antiques,0,0,0,0
Andaman & Nicobar Islands,2007,4,Motor Vehicles,9,26,166000,668000
Andaman & Nicobar Islands,2007,5, Fire Arms/Explosive Substances,14,16,448000,528000
Andaman & Nicobar Islands,2007,6, Other Property,44,184,1965416,8891456
Andaman & Nicobar Islands,2007,7, Robbery,42,126,1912300,5696272
Andaman & Nicobar Islands,2007,8, Criminal Breach of Trust,0,7,0,1477118
Andaman & Nicobar Islands,2008,1,Cattle,2,3,28600,50600
Andaman & Nicobar Islands,2008,2, Electronic Components,9,13,82000,335500
Andaman & Nicobar Islands,2008,3, Cultural Property including Antiques,1,1,700000,700000
Andaman & Nicobar Islands,2008,4,Motor Vehicles,5,18,167000,292595
Andaman & Nicobar Islands,2008,5, Fire Arms/Explosive Substances,14,22,1890000,2370000
Andaman & Nicobar Islands,2008,6, Other Property,89,187,2655455,10750983
Andaman & Nicobar Islands,2008,7, Robbery,73,142,2144745,5342430
Andaman & Nicobar Islands,2008,8, Criminal Breach of Trust,4,12,62169,4331562
Andaman & Nicobar Islands,2009,1,Cattle,0,0,0,0
Andaman & Nicobar Islands,2009,2, Electronic Components,4,6,426000,471000
Andaman & Nicobar Islands,2009,3, Cultural Property including Antiques,0,0,0,0
Andaman & Nicobar Islands,2009,4,Motor Vehicles,26,70,728905,877474
Andaman & Nicobar Islands,2009,5, Fire Arms/Explosive Substances,18,20,3332000,3422000
Andaman & Nicobar Islands,2009,6, Other Property,68,153,3510280,7519116
Andaman & Nicobar Islands,2009,7, Robbery,77,145,3811205,5347007
Andaman & Nicobar Islands,2009,8, Criminal Breach of Trust,0,7,0,187903
Andaman & Nicobar Islands,2010,1,Cattle,2,2,16000,16000
Andaman & Nicobar Islands,2010,2, Electronic Components,8,14,107500,249300
Andaman & Nicobar Islands,2010,3, Cultural Property including Antiques,0,1,0,120000
Andaman & Nicobar Islands,2010,4,Motor Vehicles,13,32,262900,412050
Andaman & Nicobar Islands,2010,5, Fire Arms/Explosive Substances,24,44,89400,416400
Andaman & Nicobar Islands,2010,6, Other Property,55,149,1446491,7119926
Andaman & Nicobar Islands,2010,7, Robbery,54,129,1072435,5519413
Andaman & Nicobar Islands,2010,8, Criminal Breach of Trust,2,10,147644,530144
Andhra Pradesh,2001,1,Cattle,448,580,6490596,7233876
Andhra Pradesh,2001,2, Electronic Components,667,1219,26821457,53684386
Andhra Pradesh,2001,3, Cultural Property including Antiques,45,81,9109500,10958100
Andhra Pradesh,2001,4,Motor Vehicles,3300,4417,7910918,13947664
Andhra Pradesh,2001,5, Fire Arms/Explosive Substances,2960,6230,100623376,198898304
Andhra Pradesh,2001,6, Other Property,7801,16408,115924128,350968081
Andhra Pradesh,2001,7, Robbery,9903,17260,128024544,276104484
Andhra Pradesh,2002,1,Cattle,516,640,6450766,7661100
Andhra Pradesh,2002,2, Electronic Components,576,1000,17906988,28715723
Andhra Pradesh,2002,3, Cultural Property including Antiques,162,247,15356216,19497097
Andhra Pradesh,2002,4,Motor Vehicles,3072,4676,11661016,20878060
Andhra Pradesh,2002,5, Fire Arms/Explosive Substances,3394,6898,108522954,185645558
Andhra Pradesh,2002,6, Other Property,8530,19256,144866967,441582986
Andhra Pradesh,2002,7, Robbery,10590,19886,143263706,285941114
Andhra Pradesh,2003,1,Cattle,435,589,5633230,6945494
Andhra Pradesh,2003,2, Electronic Components,688,1415,17441546,46967345
Andhra Pradesh,2003,3, Cultural Property including Antiques,210,502,17296869,29616404
Andhra Pradesh,2003,4,Motor Vehicles,2870,4373,9745490,18878087
Andhra Pradesh,2003,5, Fire Arms/Explosive Substances,3944,9464,145939334,292318180
Andhra Pradesh,2003,6, Other Property,9215,22766,175746379,479193349
Andhra Pradesh,2003,7, Robbery,11378,23855,192670853,418492424
Andhra Pradesh,2004,1,Cattle,443,559,6382872,8724125
Andhra Pradesh,2004,2, Electronic Components,722,1507,20572578,52324272
Andhra Pradesh,2004,3, Cultural Property including Antiques,279,460,20572970,30066288
Andhra Pradesh,2004,4,Motor Vehicles,3120,4430,10411137,16150777
Andhra Pradesh,2004,5, Fire Arms/Explosive Substances,4328,9454,170744744,321832416
Andhra Pradesh,2004,6, Other Property,9551,21842,176919474,587363528
Andhra Pradesh,2004,7, Robbery,12167,23877,211884461,430908914
Andhra Pradesh,2005,1,Cattle,467,609,6568443,10047783
Andhra Pradesh,2005,2, Electronic Components,795,1522,20899088,41768504
Andhra Pradesh,2005,3, Cultural Property including Antiques,184,459,18475256,32364341
Andhra Pradesh,2005,4,Motor Vehicles,2968,3554,9693979,27521092
Andhra Pradesh,2005,5, Fire Arms/Explosive Substances,5340,10930,215167144,400611304
Andhra Pradesh,2005,6, Other Property,11292,22247,266172039,607057688
Andhra Pradesh,2005,7, Robbery,14233,24424,261014291,511418120
